ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-29,2.4725190840051,-1.145808595650919,6.412073056538889,2.4725190840051,2.4725190840051,0.25979467174548115,0.25979467174548115,0.25979467174548115,-0.03535328258299911,-0.03535328258299911,-0.03535328258299911,0.29514795432848023,0.29514795432848023,0.29514795432848023,0.0,0.0,0.0,2.732313755750581
2023-10-02,2.472166098698213,-0.986674488587323,6.813937090264368,2.472166098698213,2.472166098698213,0.4172398532157832,0.4172398532157832,0.4172398532157832,0.15093898770310746,0.15093898770310746,0.15093898770310746,0.2663008655126758,0.2663008655126758,0.2663008655126758,0.0,0.0,0.0,2.889405951913996
2023-10-03,2.472048436929251,-1.3272868331020067,6.594823626219124,2.472048436929251,2.472048436929251,0.253109112957957,0.253109112957957,0.253109112957957,0.011571947576668016,0.011571947576668016,0.011571947576668016,0.241537165381289,0.241537165381289,0.241537165381289,0.0,0.0,0.0,2.725157549887208
2023-10-04,2.471930775160289,-1.1602807632378012,6.744000060932435,2.471930775160289,2.471930775160289,0.27213249760259783,0.27213249760259783,0.27213249760259783,0.06138315715873624,0.06138315715873624,0.06138315715873624,0.21074934044386157,0.21074934044386157,0.21074934044386157,0.0,0.0,0.0,2.7440632727628866
2023-10-05,2.471813113391326,-0.6626934682790456,6.680078993869315,2.471813113391326,2.471813113391326,0.15741118862568876,0.15741118862568876,0.15741118862568876,-0.017713170533928325,-0.017713170533928325,-0.017713170533928325,0.17512435915961708,0.17512435915961708,0.17512435915961708,0.0,0.0,0.0,2.6292243020170147
2023-10-06,2.4716954516223644,-1.1885036937931985,6.396052198657511,2.4716954516223644,2.4716954516223644,0.1006090235901716,0.1006090235901716,0.1006090235901716,-0.035353282582442115,-0.035353282582442115,-0.035353282582442115,0.1359623061726137,0.1359623061726137,0.1359623061726137,0.0,0.0,0.0,2.572304475212536
2023-10-07,2.471577789853402,-1.247258564263832,6.603262194612395,2.471577789853402,2.471577789853402,0.11926045920159965,0.11926045920159965,0.11926045920159965,0.024629559361837614,0.024629559361837614,0.024629559361837614,0.09463089983976203,0.09463089983976203,0.09463089983976203,0.0,0.0,0.0,2.5908382490550017
2023-10-08,2.47146012808444,-1.8005108374069714,6.2086379053786835,2.47146012808444,2.47146012808444,-0.14293828678829917,-0.14293828678829917,-0.14293828678829917,-0.19545719868335326,-0.19545719868335326,-0.19545719868335326,0.05251891189505407,0.05251891189505407,0.05251891189505407,0.0,0.0,0.0,2.3285218412961406
2023-10-09,2.4713424663154773,-1.1777812440600564,6.484393800049995,2.4713424663154773,2.4713424663154773,0.16192891977621648,0.16192891977621648,0.16192891977621648,0.15093898770260294,0.15093898770260294,0.15093898770260294,0.010989932073613554,0.010989932073613554,0.010989932073613554,0.0,0.0,0.0,2.633271386091694
2023-10-10,2.4712248045465155,-1.282472865861818,6.474283512037543,2.4712248045465155,2.4712248045465155,-0.01709015747125156,-0.01709015747125156,-0.01709015747125156,0.011571947577241297,0.011571947577241297,0.011571947577241297,-0.028662105048492856,-0.028662105048492856,-0.028662105048492856,0.0,0.0,0.0,2.454134647075264
